-0.17	5.04
-0.16	5.02
-0.15	5.44
-0.14	5.22
-0.13	5.08
-0.12	5.4
-0.11	5.16
-0.1	5.32
-0.09	5.58
-0.08	5.5
-0.07	5.24
-0.06	5.52
-0.05	5.46
-0.04	5.78
-0.03	6.1
-0.02	5.66
-0.01	5.48
0	5.48
0.01	5.66
0.02	6.1
0.03	5.78
0.04	5.46
0.05	5.52
0.06	5.24
0.07	5.5
0.08	5.58
0.09	5.32
0.1	5.16
0.11	5.4
0.12	5.08
0.13	5.22
0.14	5.44
0.15	5.02
0.16	5.04
0.17	5.5
0.18	4.56
0.19	5.4
0.2	4.7
0.21	4.9
0.22	4.66
0.23	4.84
0.24	4.44
0.25	4.68
0.26	4.72
0.27	4.5
0.28	3.94
0.29	4.5
0.3	3.54
0.31	4.2
0.32	3.56
0.33	4.04
0.34	4.42
0.35	3.64
0.36	3.52
0.37	2.88
0.38	3.48
0.39	3.7
0.4	3
0.41	2.54
0.42	2.98
0.43	3.1
0.44	2.9
0.45	2.62
0.46	2.52
0.47	2.76
0.48	2.26
0.49	2.22
0.5	2.06
0.51	2.16
0.52	2.42
0.53	2.26
0.54	2.08
0.55	1.64
0.56	1.74
0.57	1.24
0.58	1.34
0.59	1.44
0.6	1.7
0.61	1.8
0.62	1.06
0.63	1.08
0.64	1.14
0.65	1.18
0.66	1.32
0.67	0.92
0.68	0.86
0.69	0.7
0.7	0.6
0.71	0.8
0.72	0.66
0.73	0.6
0.74	0.54
0.75	0.36
0.76	0.44
0.77	0.28
0.78	0.4
0.79	0.54
0.8	0.48
0.81	0.46
0.82	0.44
0.83	0.42
0.84	0.46
0.85	0.28
0.86	0.32
0.87	0.26
0.88	0.16
0.89	0.14
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0
